ts,date,version,major,endpoint,latencyMedianMs,latencyMeanMs,reqPerSec,serverLatencyAvgMs,serverLatencyP99Ms,non2xx,errors
1622909902095,"2021-06-05T16:18:22.095Z","5.1.0",5,"info",1130.897,1161.722,"","","","",""
1622909911780,"2021-06-05T16:18:31.780Z","3.13.1",3,"info",1040.238,1092.923,"","","","",""
1622909913065,"2021-06-05T16:18:33.065Z","4.12.1",4,"info",1105.982,1101.21,"","","","",""
1622910221445,"2021-06-05T16:23:41.445Z","5.1.0",5,"tarball",13951.63,14008.13,"","","","",""
1622910242706,"2021-06-05T16:24:02.706Z","4.12.1",4,"tarball",15365.131,15535.868,"","","","",""
1622910282564,"2021-06-05T16:24:42.564Z","3.13.1",3,"tarball",18178.576,18238.075,"","","","",""
1622938827072,"2021-06-06T00:20:27.072Z","3.13.1",3,"info",846.551,871.47,"","","","",""
1622938832483,"2021-06-06T00:20:32.483Z","5.1.0",5,"info",1057.929,1059.744,"","","","",""
1622938854876,"2021-06-06T00:20:54.876Z","4.12.1",4,"info",1167.916,1162.533,"","","","",""
1622939122843,"2021-06-06T00:25:22.843Z","3.13.1",3,"tarball",12552.178,12669.456,"","","","",""
1622939159874,"2021-06-06T00:25:59.874Z","5.1.0",5,"tarball",14729.036,14879.444,"","","","",""
1622939213386,"2021-06-06T00:26:53.386Z","4.12.1",4,"tarball",16987.363,17211.719,"","","","",""
1622967806181,"2021-06-06T08:23:26.181Z","5.1.0",5,"info",953.18,971.816,"","","","",""
1622967810324,"2021-06-06T08:23:30.324Z","4.12.1",4,"info",932.622,946.901,"","","","",""
1622967810488,"2021-06-06T08:23:30.488Z","3.13.1",3,"info",1049.058,1075.181,"","","","",""
1622968107459,"2021-06-06T08:28:27.459Z","3.13.1",3,"tarball",13792.129,13784.838,"","","","",""
1622968116171,"2021-06-06T08:28:36.171Z","4.12.1",4,"tarball",14224.491,14277.786,"","","","",""
1622968131437,"2021-06-06T08:28:51.437Z","5.1.0",5,"tarball",15095.81,15298.417,"","","","",""
1622996379532,"2021-06-06T16:19:39.532Z","5.1.0",5,"info",935.576,937.611,"","","","",""
1622996388430,"2021-06-06T16:19:48.430Z","3.13.1",3,"info",1094.653,1084.649,"","","","",""
1622996393084,"2021-06-06T16:19:53.084Z","4.12.1",4,"info",1200.648,1213.158,"","","","",""
1622996715192,"2021-06-06T16:25:15.192Z","3.13.1",3,"tarball",14222.033,14406.334,"","","","",""
1622996717437,"2021-06-06T16:25:17.437Z","5.1.0",5,"tarball",14493.976,14579.002,"","","","",""
1622996738408,"2021-06-06T16:25:38.408Z","4.12.1",4,"tarball",16083.604,16094.812,"","","","",""
1623025217616,"2021-06-07T00:20:17.616Z","5.1.0",5,"info",1240.759,1278.057,"","","","",""
1623025224223,"2021-06-07T00:20:24.223Z","3.13.1",3,"info",1116.205,1122.764,"","","","",""
1623025225049,"2021-06-07T00:20:25.049Z","4.12.1",4,"info",994.303,1036.754,"","","","",""
1623025484228,"2021-06-07T00:24:44.228Z","3.13.1",3,"tarball",12784.574,12821.23,"","","","",""
1623025496106,"2021-06-07T00:24:56.106Z","4.12.1",4,"tarball",13727.585,13836.228,"","","","",""
1623025541867,"2021-06-07T00:25:41.867Z","5.1.0",5,"tarball",17205.333,17200.859,"","","","",""
1623055720450,"2021-06-07T08:48:40.450Z","4.12.1",4,"info",933.915,960.419,"","","","",""
1623055723883,"2021-06-07T08:48:43.883Z","5.1.0",5,"info",1186.104,1199.59,"","","","",""
1623055744755,"2021-06-07T08:49:04.755Z","3.13.1",3,"info",875.627,888.894,"","","","",""
1623056032624,"2021-06-07T08:53:52.624Z","4.12.1",4,"tarball",14671.122,14768.199,"","","","",""
1623056065786,"2021-06-07T08:54:25.786Z","3.13.1",3,"tarball",15407.51,15559.884,"","","","",""
1623056082423,"2021-06-07T08:54:42.423Z","5.1.0",5,"tarball",16151.317,16223.607,"","","","",""
1623083683492,"2021-06-07T16:34:43.492Z","5.1.0",5,"info",1086.102,1080.955,"","","","",""
1623083705893,"2021-06-07T16:35:05.893Z","4.12.1",4,"info",1252.683,1284.402,"","","","",""
1623083745395,"2021-06-07T16:35:45.395Z","3.13.1",3,"info",849.214,860.035,"","","","",""
1623083943742,"2021-06-07T16:39:03.742Z","3.13.1",3,"tarball",11358.416,11476.413,"","","","",""
1623083969022,"2021-06-07T16:39:29.022Z","4.12.1",4,"tarball",13256.962,13420.236,"","","","",""
1623083986812,"2021-06-07T16:39:46.812Z","5.1.0",5,"tarball",13681.293,13816.405,"","","","",""
1623111806264,"2021-06-08T00:23:26.264Z","4.12.1",4,"info",928.397,947.935,"","","","",""
1623111806710,"2021-06-08T00:23:26.710Z","3.13.1",3,"info",912.65,914.548,"","","","",""
1623111809675,"2021-06-08T00:23:29.675Z","5.1.0",5,"info",949.049,943.754,"","","","",""
